order_id,vendor,item,category,price,discount_pct,multiple_sizes_ordered,order_date,delivery_date,returned
ORD-54D5779DD4,Amazon,Sweater,clothing,41.65,18.14,1,2024-02-22,2024-03-01,0
ORD-00B03A35A0,Newegg,Cotton T-shirt,clothing,45.78,20.99,0,2024-01-14,2024-01-21,0
ORD-8644CE8EFB,Newegg,Running shoes,shoes,30.07,10.39,0,2024-01-04,2024-01-13,0
ORD-146ADDD71C,Etsy,Cooking guide,books,16.82,9.47,0,2024-06-21,2024-06-23,0
ORD-6FEB614D88,Etsy,Storage organizer set,home,82.89,8.48,0,2024-01-23,2024-02-01,0
ORD-277F2B6E2E,BestBuy,Fantasy novel,books,13.11,13.28,0,2024-11-17,2024-11-24,0
ORD-67D661ADD2,Walmart,Leather sneakers,shoes,58.92,31.90,0,2024-02-10,2024-02-21,0
ORD-123598B393,IKEA,Business strategy book,books,11.55,4.93,0,2024-07-05,2024-07-08,0
ORD-9CD0E87FCF,BestBuy,Storage organizer set,home,80.99,7.30,0,2024-09-30,2024-10-09,0
ORD-9FF53B7D80,IKEA,Fantasy novel,books,13.99,7.50,0,2024-06-15,2024-06-26,0
ORD-3194831E75,Amazon,Noise cancelling headphones,electronics,69.02,3.49,0,2024-02-03,2024-02-06,0
ORD-0C43217063,Walmart,Vacuum cleaner,home,52.36,8.60,0,2024-11-25,2024-12-01,0
ORD-61A135E0F8,Zappos,4K streaming stick,electronics,180.99,12.83,0,2024-10-26,2024-10-31,0
ORD-B510EEE9E5,Zappos,Bluetooth speaker,electronics,251.25,8.72,0,2024-01-25,2024-02-05,1
ORD-C7EEED7D1A,BestBuy,Business strategy book,books,19.87,3.01,0,2024-08-27,2024-09-02,0
ORD-4602197B13,BestBuy,Casual hoodie,clothing,31.21,17.86,0,2024-06-23,2024-06-25,0
ORD-105F742C1E,Amazon,Cooking guide,books,11.77,3.40,0,2024-04-01,2024-04-07,0
ORD-2BAF67F41A,Zappos,Storage organizer set,home,163.58,12.30,0,2024-07-10,2024-07-19,0
ORD-DB608F57E7,Amazon,Winter boots,shoes,56.17,29.99,1,2024-07-04,2024-07-15,0
ORD-20D20BBB04,Walmart,Kitchen blender,home,41.37,15.20,0,2024-10-17,2024-10-30,1
ORD-96902EEEC5,BestBuy,Fantasy novel,books,11.82,4.45,0,2024-03-06,2024-03-14,0
ORD-A1B5B47F5F,IKEA,4K streaming stick,electronics,90.41,13.77,0,2024-08-04,2024-08-17,0
ORD-FD9933EADE,IKEA,Bluetooth speaker,electronics,70.55,11.82,0,2024-11-28,2024-12-03,0
ORD-8495EBAA2F,Walmart,Wireless earbuds,electronics,102.15,22.50,0,2024-10-28,2024-11-04,1
ORD-0601334221,Walmart,Cotton T-shirt,clothing,38.33,13.52,0,2024-02-06,2024-02-12,0
ORD-C14307A5A6,Walmart,Fantasy novel,books,19.97,2.85,0,2024-10-19,2024-10-26,0
ORD-92AAB9E70E,Newegg,Science textbook,books,14.53,13.06,0,2024-12-03,2024-12-08,0
ORD-57DEBF2CB4,Amazon,Paperback thriller,books,22.79,34.64,0,2024-02-25,2024-02-29,0
ORD-0F02697AFB,Target,Business strategy book,books,31.80,5.98,0,2024-08-24,2024-08-28,0
ORD-CB6C90F814,Zappos,Paperback thriller,books,19.94,30.27,0,2024-01-08,2024-01-21,0
ORD-1BFFCB1A63,Target,Bluetooth speaker,electronics,399.99,19.14,0,2024-04-19,2024-04-30,1
ORD-B7AD30F568,Newegg,Sweater,clothing,32.37,19.98,0,2024-05-26,2024-05-31,0
ORD-4E32A346DE,Kobo,Running shoes,shoes,32.37,7.01,1,2024-01-30,2024-02-06,0
ORD-7284059D6C,Amazon,Kitchen blender,home,47.03,8.80,0,2024-09-14,2024-09-26,0
ORD-DDBB4B0A61,Zappos,Cotton T-shirt,clothing,51.13,17.22,1,2024-02-04,2024-02-12,0
ORD-7745EF1200,Walmart,Casual hoodie,clothing,134.80,12.69,0,2024-08-02,2024-08-10,0
ORD-BFC81AA46A,IKEA,Air purifier,home,49.44,9.85,0,2024-06-09,2024-06-13,0
ORD-FF5C0696FD,Kobo,Desk lamp,home,95.33,4.45,0,2024-02-07,2024-02-09,0
ORD-0443FEFC67,BestBuy,Leather sneakers,shoes,42.82,9.36,0,2024-03-08,2024-03-20,0
ORD-7CAF07D4FC,Etsy,Noise cancelling headphones,electronics,131.73,5.47,0,2024-10-05,2024-10-13,0
ORD-5A7683F1FC,Amazon,Winter boots,shoes,36.13,9.31,0,2024-03-09,2024-03-13,0
ORD-8782B2AC4F,Target,Chelsea boots,shoes,75.84,24.48,1,2024-06-24,2024-06-27,0
ORD-2C15E0E753,Zappos,Vacuum cleaner,home,85.47,16.12,0,2024-01-27,2024-01-29,0
ORD-B023503683,Amazon,Kitchen blender,home,62.48,2.61,0,2024-03-07,2024-03-15,0
ORD-D36562A6F0,Zappos,Business strategy book,books,27.74,1.05,0,2024-02-27,2024-02-29,0
ORD-E1B3B5EE16,Zappos,Wireless earbuds,electronics,132.56,6.14,0,2024-10-25,2024-11-01,1
ORD-283264D499,Amazon,Desk lamp,home,40.10,1.82,0,2024-05-07,2024-05-15,0
ORD-F0502B01B9,Newegg,Winter boots,shoes,74.97,11.95,0,2024-05-01,2024-05-12,0
ORD-1BF2B3C5D5,Newegg,Wireless earbuds,electronics,248.08,11.31,0,2024-06-19,2024-06-29,0
ORD-B47CE41085,IKEA,Smart watch,electronics,49.09,3.77,0,2024-02-25,2024-03-01,0
ORD-64ACFE1459,Kobo,Noise cancelling headphones,electronics,96.33,7.99,0,2024-04-26,2024-04-29,0
ORD-9A0D980DF5,BestBuy,Desk lamp,home,62.86,15.17,0,2024-09-17,2024-09-22,0
ORD-94ABEF7DBF,Etsy,Leather sneakers,shoes,107.41,29.15,0,2024-04-01,2024-04-08,0
ORD-A4E1CAF0F0,BestBuy,Casual hoodie,clothing,44.20,7.84,0,2024-06-09,2024-06-14,0
ORD-5354E8A9A4,Newegg,Casual hoodie,clothing,43.39,23.19,1,2024-08-11,2024-08-13,0
ORD-8E16A6170C,Walmart,Chelsea boots,shoes,74.64,26.12,0,2024-06-18,2024-06-25,0
ORD-68D45ED3D2,IKEA,Casual hoodie,clothing,17.16,26.52,0,2024-07-25,2024-08-02,0
ORD-82DE36B755,Newegg,Bluetooth speaker,electronics,117.14,15.87,0,2024-03-30,2024-04-06,0
ORD-6F786C4463,IKEA,Sweater,clothing,31.04,15.86,0,2024-11-06,2024-11-14,0
ORD-547C352E10,Walmart,Fantasy novel,books,18.30,15.17,0,2024-03-27,2024-04-04,0
ORD-20BF0290C9,Etsy,Leather sneakers,shoes,103.85,8.70,0,2024-12-10,2024-12-14,0
ORD-51B2B0040A,Amazon,Wireless earbuds,electronics,201.10,2.14,0,2024-08-31,2024-09-07,0
ORD-AC1B5C322B,Walmart,Sandals,shoes,77.25,12.58,0,2024-12-01,2024-12-09,0
ORD-D53E1905DF,Newegg,Denim jacket,clothing,38.81,5.57,0,2024-09-22,2024-09-28,0
ORD-83EA7ECCE8,Kobo,Denim jacket,clothing,34.33,13.87,0,2024-10-13,2024-10-20,0
ORD-0B62CC4176,Zappos,Business strategy book,books,16.39,0.90,0,2024-10-07,2024-10-13,0
ORD-682E20CB6E,Kobo,Cooking guide,books,24.74,11.94,0,2024-11-22,2024-11-26,0
ORD-61DDCD6AFE,Walmart,Cooking guide,books,18.63,7.89,0,2024-12-31,2025-01-04,0
ORD-EEFED911BD,Zappos,Kitchen blender,home,44.23,7.73,0,2024-04-28,2024-05-03,0
ORD-C7FBEA5376,BestBuy,Bluetooth speaker,electronics,96.61,6.46,0,2024-10-04,2024-10-10,0
ORD-95758C76CE,Amazon,Fantasy novel,books,17.27,13.20,0,2024-01-04,2024-01-17,0
ORD-7E753D05DF,Newegg,Fantasy novel,books,19.88,4.29,0,2024-10-06,2024-10-16,0
ORD-2F0F4B3A36,Walmart,Cooking guide,books,20.31,15.91,0,2024-01-15,2024-01-20,0
ORD-FB1B5FDD35,Target,Business strategy book,books,20.84,9.79,0,2024-11-14,2024-11-20,0
ORD-D21158B7C1,Amazon,Leather sneakers,shoes,46.56,8.87,1,2024-08-24,2024-08-27,0
ORD-3233615641,Walmart,Vacuum cleaner,home,71.83,1.69,0,2024-07-13,2024-07-17,0
ORD-03F89F5E6A,IKEA,Paperback thriller,books,23.24,3.97,0,2024-10-03,2024-10-05,0
ORD-F0BC8B93DB,BestBuy,Wireless earbuds,electronics,393.30,5.51,0,2024-05-06,2024-05-09,1
ORD-58B876DA13,Kobo,Wireless earbuds,electronics,73.22,8.40,0,2024-04-21,2024-04-27,0
ORD-8B3DE57E17,BestBuy,Running shoes,shoes,41.42,8.49,1,2024-01-14,2024-01-26,0
ORD-DA5735117B,Newegg,Science textbook,books,23.65,29.18,0,2024-11-17,2024-11-21,0
ORD-A8F2A3D691,BestBuy,Storage organizer set,home,110.50,5.12,0,2024-06-26,2024-07-02,0
ORD-38C82CC3AF,Zappos,Sweater,clothing,22.13,39.79,0,2024-08-09,2024-08-22,0
ORD-986DD83AC5,Target,Business strategy book,books,15.55,4.61,0,2024-09-24,2024-10-07,0
ORD-D76A4595E4,Kobo,Sandals,shoes,41.12,15.69,0,2024-05-17,2024-05-21,0
ORD-0317346B79,IKEA,Running shorts,clothing,41.71,2.81,0,2024-11-08,2024-11-16,0
ORD-8A01420B0D,Etsy,Science textbook,books,21.36,5.72,0,2024-06-30,2024-07-10,0
ORD-94BF0FB71A,IKEA,Winter boots,shoes,40.08,54.69,1,2024-07-27,2024-08-02,0
ORD-FB89E95717,Kobo,Business strategy book,books,13.90,5.05,0,2024-02-17,2024-02-21,0
ORD-6B545D0836,IKEA,4K streaming stick,electronics,156.40,29.55,0,2024-10-10,2024-10-16,0
ORD-EE18DBA728,Etsy,Vacuum cleaner,home,53.34,12.27,0,2024-05-08,2024-05-11,0
ORD-071F63BB88,BestBuy,Storage organizer set,home,58.16,9.61,0,2024-12-19,2024-12-22,0
ORD-EEDFDEA8E7,IKEA,Fantasy novel,books,33.55,10.53,0,2024-09-25,2024-10-02,0
ORD-C5D3623767,IKEA,Smart watch,electronics,72.49,2.61,0,2024-06-03,2024-06-05,0
ORD-30788DC4BE,Zappos,Sweater,clothing,46.79,5.87,1,2024-09-08,2024-09-10,1
ORD-C32822DC29,Kobo,Vacuum cleaner,home,88.03,18.18,0,2024-04-04,2024-04-17,0
ORD-D5311BED61,BestBuy,Paperback thriller,books,12.97,2.61,0,2024-02-07,2024-02-14,0
ORD-432BCB0659,Target,4K streaming stick,electronics,100.86,17.60,0,2024-02-13,2024-02-27,0
ORD-FC00A62CAF,Walmart,Winter boots,shoes,45.33,16.22,0,2024-06-01,2024-06-12,0
ORD-E857A061DD,Amazon,Storage organizer set,home,43.48,15.41,0,2024-02-20,2024-03-04,0
ORD-6B02D236C6,IKEA,Wireless earbuds,electronics,131.34,26.26,0,2024-03-29,2024-04-05,0
ORD-FEBAD0E6A4,Kobo,Chelsea boots,shoes,64.20,36.69,0,2024-08-20,2024-08-22,0
ORD-6F1FB17D33,Walmart,Vacuum cleaner,home,67.21,15.84,0,2024-04-25,2024-05-03,0
ORD-7358457DD2,BestBuy,Wireless earbuds,electronics,89.43,14.42,0,2024-06-06,2024-06-13,0
ORD-4E8867C59A,BestBuy,Business strategy book,books,21.73,14.32,0,2024-12-24,2024-12-29,0
ORD-71259A6B0C,Kobo,Sandals,shoes,52.20,21.02,1,2024-08-09,2024-08-18,0
ORD-1D845A2CB0,BestBuy,Denim jacket,clothing,24.52,19.10,0,2024-10-21,2024-10-28,1
ORD-A0D55ED05A,Amazon,Air purifier,home,75.17,6.87,0,2024-11-29,2024-12-05,0
ORD-52A0E88BE4,Newegg,Sandals,shoes,58.07,40.31,0,2024-07-28,2024-08-01,0
ORD-C100EAD261,Etsy,Bluetooth speaker,electronics,42.45,5.16,0,2024-05-27,2024-06-04,0
ORD-5A65C8886B,Kobo,Cotton T-shirt,clothing,42.10,29.55,0,2024-07-25,2024-08-05,0
ORD-5EEED9AC74,Zappos,Running shorts,clothing,33.92,10.45,0,2024-07-04,2024-07-11,0
ORD-BC164DF24C,Amazon,Science textbook,books,17.31,10.79,0,2024-03-08,2024-03-20,0
ORD-F1C9C9E455,BestBuy,Paperback thriller,books,13.58,6.10,0,2024-11-07,2024-11-17,0
ORD-BC5B2CED5B,Zappos,Kitchen blender,home,45.91,1.54,0,2024-02-17,2024-02-20,0
ORD-DF9A608A3B,Kobo,Cotton T-shirt,clothing,26.30,36.94,1,2025-01-01,2025-01-05,0
ORD-D56CA3F239,Kobo,Business strategy book,books,10.64,4.28,0,2024-10-09,2024-10-12,0
ORD-CB175CE92F,Zappos,Running shoes,shoes,77.28,14.68,0,2024-07-31,2024-08-05,0
